Instance,Income
111994,35131.9815931399
111995,11308.1431900818
111996,26831.2742201959
111997,113811.9539272900
111998,29059.5070050597
111999,93222.9320556895
112000,102041.5935965390
112001,57979.9626853301
112002,35097.0700324499
112003,109754.1935691090
112004,10506.9029468173
112005,195152.8748906990
112006,27973.3583486500
112007,105057.7932731190
112008,250125.1343547600
112009,76497.3139549498
112010,42767.1020626900
112011,26430.5754828500
112012,22027.1481301750
112013,15093.5162322652
112014,135141.1823847590
112015,48407.5816070500
112016,49068.5876888400
112017,25847.5842116599
112018,133803.2428181090
112019,46444.7619144700
112020,37587.2641774800
112021,26833.0696731099
112022,88237.0590121799
112023,61483.4263831900
112024,51860.2520950960
112025,74054.2368515697
112026,34719.0471555199
112027,60721.7819959698
112028,33234.6858623899
112029,51288.8385005997
112030,184819.0824528800
112031,213713.7826540290
112032,288959.6800065990
112033,116147.6108594700
112034,204428.3267504690
112035,106887.6935441690
112036,188579.0730566790
112037,158658.5177034790
112038,193640.9779470100
112039,54145.5099623398
112040,72267.3770970899
112041,65306.8838856799
112042,39418.8249089397
112043,61807.6865309696
112044,106578.1200223400
112045,15432.0707630179
112046,252539.0640901190
112047,32057.4611786100
112048,24720.7159779239
112049,94664.1083225750
112050,44930.7596414900
112051,69753.6901639697
112052,133236.5058296090
112053,189383.8551474490
112054,102089.5363125600
112055,26525.1202982399
112056,99313.2587347798
112057,19942.3827606901
112058,32625.7237441530
112059,36399.7590982600
112060,315795.5980662990
112061,147207.3975629700
112062,212174.2132554100
112063,66150.3095511597
112064,22903.3094994519
112065,59706.4159655901
112066,5599.6688539653
112067,107087.7637807300
112068,59545.6175937658
112069,267925.7252561590
112070,208496.1397105980
112071,42263.3644011799
112072,74302.5551026800
112073,41783.2203172598
112074,25422.1298082101
112075,21881.4206537829
112076,143980.3852017290
112077,1141179.2958220000
112078,8198.7718202562
112079,160349.5450030400
112080,88792.4907572301
112081,840786.4311833970
112082,39349.5269927099
112083,72385.0616161747
112084,17202.7378400860
112085,38799.1645155100
112086,33838.9747014398
112087,70457.3694034699
112088,149958.0773189090
112089,53741.9982851698
112090,167002.9623795600
112091,41603.3984714499
112092,28667.7680907299
112093,110113.0912623390
112094,33569.8610924700
112095,48434.4128360339
112096,117529.7453816600
112097,18361.0652998799
112098,33871.1358565599
112099,32767.8890277199
112100,39592.1951489199
112101,169634.6156326490
112102,28340.5868860700
112103,136489.5873619990
112104,69021.6779358801
112105,47842.2783619702
112106,88723.4138103302
112107,125842.6369027290
112108,60203.5854554903
112109,27407.7762187000
112110,47686.1613164199
112111,31468.4181902998
112112,81790.7111603201
112113,74606.8381720301
112114,77094.5978811799
112115,17302.1911699920
112116,40176.9870454599
112117,88887.4267684501
112118,26027.0753507700
112119,28117.8356899100
112120,500168.3957037990
112121,108683.2724635800
112122,476110.5086967000
112123,198600.2010425200
112124,34191.0523078661
112125,190485.9004311190
112126,162917.7959215900
112127,19086.3968870300
112128,40860.2879638899
112129,111347.2754057290
112130,74979.1010831399
112131,20478.1489434712
112132,86148.4445757601
112133,256663.5947676200
112134,15590.6480485705
112135,16421.5206002970
112136,89774.0349230599
112137,13849.6184422154
112138,36347.5823222699
112139,60930.9742915599
112140,41274.2739438200
112141,38470.6945105799
112142,52724.2894051398
112143,180704.5663443190
112144,28777.1124802099
112145,29975.9277707699
112146,36873.3951465300
112147,266692.3029692600
112148,49697.4345317699
112149,70000.8427310598
112150,6735.2267409951
112151,317951.5754085980
112152,87214.5695360897
112153,57285.8508303398
112154,27422.6532706689
112155,101568.7318269200
112156,73265.6644450698
112157,87748.7958943500
112158,39741.9407979401
112159,270330.2737328590
112160,54250.7464005401
112161,140870.7637199690
112162,74223.6989913100
112163,10114.4699527521
112164,23449.7132391189
112165,135570.1943548990
112166,49917.9707844199
112167,16406.8922889489
112168,55378.0512961100
112169,288412.8348574790
112170,229501.3284329400
112171,40892.8525258099
112172,19517.8131634999
112173,117376.9589922090
112174,43995.3731550101
112175,37797.5556832998
112176,29544.7802947900
112177,92040.3648541297
112178,19252.7358879699
112179,32017.2685924100
112180,36551.8037140800
112181,7639.1558270275
112182,280097.3251197890
112183,94099.9767481997
112184,24550.8149244000
112185,293544.7811842090
112186,10273.5332675994
112187,111702.0304327100
112188,108416.4530661890
112189,48973.0779417298
112190,39294.9501990641
112191,87167.6378602800
112192,200657.1902579790
112193,32671.0260815799
112194,149864.6597585490
112195,36646.0523937601
112196,28001.0132960400
112197,210129.4965582890
112198,30382.7501752400
112199,43643.0171374298
112200,59061.1237305897
112201,275378.5822339990
112202,139858.8519351190
112203,35966.0409627600
112204,133617.6471317090
112205,7748.6471207349
112206,109264.6829685400
112207,300209.1026004000
112208,66845.2799227198
112209,383408.5077753000
112210,48622.7594233198
112211,261669.8790132000
112212,51183.9773486698
112213,18830.3910994680
112214,190095.4073325200
112215,53935.3648943591
112216,114799.5460724690
112217,37366.6028904498
112218,42856.4524131600
112219,410787.5983850300
112220,23260.0390443959
112221,6080.1411745433
112222,30083.1441498999
112223,53249.1617580699
112224,152488.8160124300
112225,16099.9656638994
112226,41830.6478548000
112227,58928.0662731199
112228,94691.2442415302
112229,60698.8397462001
112230,206580.9643385200
112231,15958.5111802010
112232,149658.8882111690
112233,25137.8656199979
112234,47180.7508252300
112235,24788.6953238440
112236,95888.4789769203
112237,351609.7922314200
112238,39997.2258609700
112239,10760.8158057347
112240,12491.3517423741
112241,19244.7470865099
112242,47973.6355159301
112243,61510.5582339499
112244,163097.9806651790
112245,95011.3349264900
112246,44901.9604182600
112247,429495.5541626980
112248,88851.2577912700
112249,14263.9226119999
112250,56234.8135937500
112251,53298.1730452599
112252,54815.3060231099
112253,30492.1632655940
112254,278031.8461758000
112255,39723.5226073298
112256,38144.7537606700
112257,33933.1630189799
112258,442020.6957974790
112259,192664.0870651790
112260,117343.5840619390
112261,339467.5193709490
112262,86419.2926254398
112263,32470.0014803899
112264,78982.0280469200
112265,9207.6654073702
112266,39416.4098294598
112267,66504.0258769377
112268,38175.4962148010
112269,404904.8447693000
112270,25448.6569957100
112271,77389.4438715400
112272,80716.2536221499
112273,150408.9119027000
112274,4538.5081343237
112275,179207.7801037890
112276,154403.7611555490
112277,65417.2449878798
112278,31576.2700635100
112279,23131.9559139520
112280,125905.5500313300
112281,68323.6407340998
112282,182826.9145637500
112283,102542.2271879200
112284,73323.0505467799
112285,67477.7738711397
112286,36218.9806576740
112287,36611.7454595898
112288,82692.4836225297
112289,311592.7611861000
112290,198836.3061922290
112291,36531.6502434199
112292,578068.0784580980
112293,27768.2749761199
112294,330028.5660633490
112295,28219.7923624310
112296,249596.8297819990
112297,69758.9260276799
112298,52361.3054217299
112299,41189.1479946699
112300,15047.3196791199
112301,33938.3891819200
112302,16447.7273664892
112303,37089.0257050999
112304,162120.1525202590
112305,24777.4927599699
112306,53421.5220609899
112307,47908.7336213599
112308,96031.3186514517
112309,49162.3015179100
112310,35668.4036708799
112311,90864.3583854099
112312,36249.9193777430
112313,112126.0752301600
112314,24530.3971175630
112315,172279.6266679900
112316,45615.5729089600
112317,25733.0991762510
112318,26471.0002599899
112319,25041.2810392899
112320,815556.7809515990
112321,60165.2292890799
112322,17672.1830989939
112323,119653.6361164290
112324,379354.4532104000
112325,219391.1552924200
112326,107150.7069938600
112327,183583.9127176390
112328,117690.9074659300
112329,138425.9842500790
112330,334154.5575939000
112331,334415.5938761990
112332,170790.7454349300
112333,335952.0646604980
112334,196227.6267288600
112335,56453.7030730300
112336,31087.4052394300
112337,237837.1217046790
112338,285070.7295710990
112339,261278.9207494790
112340,44975.2548568399
112341,1213696.6128402900
112342,17040.3281755429
112343,43208.4615426399
112344,29112.3566603590
112345,32230.0182090799
112346,73650.3950753702
112347,21273.3532013998
112348,23410.6755607099
112349,22747.4461483599
112350,100501.8146581300
112351,33762.3640413100
112352,42713.6175517119
112353,-765.1484784915
112354,120989.5760302490
112355,56240.7287942099
112356,64472.5727914201
112357,72239.9180988000
112358,83751.7543272499
112359,41507.7774602700
112360,18584.6914455789
112361,154093.0204408100
112362,59524.5333078099
112363,55682.4172213858
112364,19383.3728403400
112365,7111.7507642150
112366,16251.0477533654
112367,21038.6765695169
112368,48314.9400676899
112369,160528.3958791390
112370,29599.8762530100
112371,419618.5533742900
112372,94712.6012569601
112373,67602.3220194599
112374,14424.1853353721
112375,29734.4421039221
112376,91147.0816338799
112377,113910.9491372000
112378,70013.4402946098
112379,105591.7218725800
112380,73185.0796664899
112381,78924.0086156201
112382,121959.9225942200
112383,24727.6439822180
112384,193766.0265699800
112385,9265.3278329910
112386,178711.9433146690
112387,56755.3910709198
112388,39262.9257482099
112389,24680.5781850769
112390,20533.3311065320
112391,17196.0707091239
112392,114696.7691672090
112393,59631.0604652000
112394,58084.6576172199
112395,13275.2952520920
112396,177199.9797542900
112397,46566.6765369000
112398,325553.9645851490
112399,99861.7057624795
112400,77611.0434233299
112401,120043.8902140800
112402,871948.0332746000
112403,135754.6026933090
112404,112752.1337125190
112405,59716.9453247698
112406,25765.5967275900
112407,12294.5796239080
112408,26902.8962240019
112409,56135.4351326599
112410,22623.2819471599
112411,126807.6348767900
112412,114752.1386134000
112413,29119.7825475599
112414,66350.5131652200
112415,127600.5452330290
112416,68150.2145583400
112417,106089.2900445890
112418,55439.7516636797
112419,205291.5479066700
112420,49605.7569271699
112421,225610.6015081700
112422,97317.8925373796
112423,54775.3271527898
112424,10050.0680335022
112425,40082.6244714199
112426,107492.9437191590
112427,274893.3321741990
112428,143221.7147810990
112429,9975.3370471520
112430,22041.6705967509
112431,152349.7875352690
112432,35811.7595167099
112433,82060.5169164001
112434,41112.4386289739
112435,79430.1823668199
112436,46588.7814930829
112437,87532.5886638804
112438,110981.8883783590
112439,40759.7127965140
112440,262005.9094916990
112441,39532.9052787000
112442,328887.3826005000
112443,49681.4377915300
112444,22628.3679374889
112445,72345.5150525000
112446,386425.5936280990
112447,691323.3841302990
112448,57978.5140567799
112449,81926.1699880099
112450,34389.8110996999
112451,120221.7714030500
112452,15626.6770612122
112453,23069.5422391629
112454,113460.8894550400
112455,726003.4790286000
112456,60628.4803625101
112457,172081.2958752100
112458,113297.2496280600
112459,44153.0068302401
112460,43160.3670648600
112461,474505.1732025990
112462,92357.7419412785
112463,43152.0526269798
112464,62282.3535717000
112465,127265.3126018600
112466,149409.7244657290
112467,48835.5816281399
112468,38890.2917455999
112469,54795.4704077899
112470,65215.9481808501
112471,57214.8761891101
112472,163860.0100244800
112473,73084.5645059828
112474,15908.7433359360
112475,70092.7829068899
112476,89533.6476182801
112477,32350.9132132629
112478,73634.8854899500
112479,12583.6112935195
112480,57277.0103248400
112481,191174.3275942800
112482,40551.8305123000
112483,293814.6764418290
112484,50934.9622432000
112485,172120.2591910600
112486,19080.8621589300
112487,22740.7423861399
112488,129076.5325269400
112489,46669.5304541799
112490,328410.7966732010
112491,70353.4527557200
112492,42783.1420116398
112493,341938.0001926500
112494,16157.7222445360
112495,6827.3157807517
112496,26245.1007814098
112497,233243.7636347590
112498,11530.0794751208
112499,63310.3284924499
112500,10863.2375701176
112501,64375.5450490700
112502,72716.7951419799
112503,49891.5597641200
112504,40375.7340931800
112505,24727.2242818699
112506,56868.5501146698
112507,85376.3982958400
112508,77549.1952024501
112509,14276.7430729775
112510,44084.4247268698
112511,120277.8721538290
112512,15152.7269039670
112513,87941.5991130201
112514,46090.8661587698
112515,85854.2620688700
112516,89912.5473398201
112517,7399.1009343370
112518,77958.3453206000
